SimTime,Day,TimeOfDay,NumVehicleGenerated,NumVehiclesActive,NumVehiclesWaiting,NumVehicleCompleted,AverageSpeed,VehicleDensity
477,1,477,1303,975,0,509,3.8349,0.0097
478,1,478,1305,976,0,511,3.8402,0.0097
479,1,479,1307,976,0,514,3.8227,0.0097
480,1,480,1309,976,0,516,3.8176,0.0097
481,1,481,1312,979,0,517,3.8458,0.0097
482,1,482,1314,979,0,519,3.8151,0.0097
483,1,483,1316,979,0,521,3.8447,0.0097
484,1,484,1318,978,0,524,3.8374,0.0097
485,1,485,1320,978,0,526,3.8098,0.0097
486,1,486,1322,980,0,527,3.8082,0.0097
487,1,487,1324,979,0,530,3.7937,0.0097
488,1,488,1327,978,0,534,3.8027,0.0097
489,1,489,1329,976,0,538,3.8545,0.0097
490,1,490,1331,978,0,538,3.8630,0.0097
491,1,491,1334,980,0,539,3.8694,0.0097
492,1,492,1336,978,0,544,3.8528,0.0097
493,1,493,1338,979,0,547,3.8437,0.0097
494,1,494,1340,978,0,551,3.8517,0.0097
495,1,495,1343,977,0,555,3.8434,0.0097
496,1,496,1345,977,0,557,3.8424,0.0097
497,1,497,1347,975,0,561,3.8718,0.0097
498,1,498,1349,974,0,566,3.8943,0.0097
499,1,499,1351,977,0,566,3.9028,0.0097
500,1,500,1353,975,0,570,3.9272,0.0097
501,1,501,1355,974,0,573,3.9322,0.0097
502,1,502,1357,973,0,577,3.9363,0.0097
503,1,503,1360,973,0,580,3.9445,0.0097
504,1,504,1363,971,0,585,3.8919,0.0097
505,1,505,1365,970,0,590,3.8990,0.0096
506,1,506,1367,969,0,594,3.8803,0.0096
507,1,507,1369,970,0,596,3.8876,0.0096
508,1,508,1371,971,0,598,3.8867,0.0097
509,1,509,1373,970,0,601,3.8753,0.0096
510,1,510,1375,970,0,604,3.8619,0.0096
511,1,511,1378,968,0,609,3.8740,0.0096
512,1,512,1380,968,0,613,3.8616,0.0096
513,1,513,1382,966,0,619,3.8458,0.0096
514,1,514,1385,968,0,623,3.8399,0.0096
515,1,515,1388,970,0,624,3.8598,0.0096
516,1,516,1389,970,0,625,3.8464,0.0096
517,1,517,1391,969,0,629,3.8318,0.0096
518,1,518,1393,968,0,632,3.8657,0.0096
519,1,519,1395,967,0,636,3.8552,0.0096
520,1,520,1398,970,0,637,3.8680,0.0096
521,1,521,1400,971,0,639,3.8363,0.0097
522,1,522,1403,972,0,641,3.8292,0.0097
523,1,523,1405,971,0,644,3.8671,0.0097
524,1,524,1407,969,0,648,3.8617,0.0096
525,1,525,1409,971,0,648,3.8651,0.0097
526,1,526,1411,966,0,655,3.8789,0.0096
527,1,527,1413,968,0,657,3.8688,0.0096
528,1,528,1416,971,0,657,3.8836,0.0097
529,1,529,1418,971,0,659,3.8836,0.0097
530,1,530,1421,972,0,662,3.9218,0.0097
531,1,531,1423,974,0,663,3.9343,0.0097
532,1,532,1425,975,0,664,3.9179,0.0097
533,1,533,1427,975,0,666,3.9405,0.0097
534,1,534,1430,974,0,670,3.9158,0.0097
535,1,535,1432,976,0,670,3.9109,0.0097
536,1,536,1434,975,0,673,3.9149,0.0097
537,1,537,1437,977,0,675,3.9099,0.0097
538,1,538,1439,979,0,676,3.9275,0.0097
539,1,539,1441,978,0,679,3.9305,0.0097
540,1,540,1442,974,0,684,3.9630,0.0097
541,1,541,1445,977,0,687,3.9335,0.0097
542,1,542,1447,980,0,687,3.9010,0.0097
543,1,543,1450,981,0,689,3.8930,0.0098
544,1,544,1451,978,0,693,3.8988,0.0097
545,1,545,1453,980,0,695,3.8908,0.0097
546,1,546,1455,975,0,702,3.8985,0.0097
547,1,547,1458,976,0,705,3.8914,0.0097
548,1,548,1461,977,0,708,3.8813,0.0097
549,1,549,1464,982,0,708,3.8839,0.0098
550,1,550,1467,982,0,711,3.8941,0.0098
551,1,551,1469,979,0,716,3.8335,0.0097
552,1,552,1471,977,0,721,3.8373,0.0097
553,1,553,1473,975,0,726,3.8636,0.0097
554,1,554,1475,976,0,728,3.8555,0.0097
555,1,555,1477,976,0,730,3.8627,0.0097
556,1,556,1479,975,0,734,3.8605,0.0097
557,1,557,1481,976,0,736,3.8873,0.0097
