T,Smoothed_Pro
592,3.6230532536039127e-06
593,3.622545983354978e-06
594,3.6220387131060434e-06
595,3.6215314428571083e-06
596,3.6210241726081736e-06
597,3.620516902359239e-06
598,3.620009632110304e-06
599,3.619502361861369e-06
600,3.6189950916124345e-06
601,3.6184878213634995e-06
602,3.617980551114565e-06
603,3.61747328086563e-06
604,3.616966010616695e-06
605,3.6164587403677604e-06
606,3.6159514701188253e-06
607,3.6154441998698906e-06
608,3.614936929620956e-06
609,3.614429659372021e-06
610,3.613922389123086e-06
611,3.6134151188741515e-06
612,3.6129078486252165e-06
613,3.612400578376282e-06
614,3.611893308127347e-06
615,3.611386037878412e-06
616,3.6108787676294774e-06
617,3.6103714973805427e-06
618,3.6098642271316076e-06
619,3.609356956882673e-06
620,3.6088496866337383e-06
621,3.608342416384803e-06
622,3.6078351461358685e-06
623,3.607327875886934e-06
624,3.606820605637999e-06
625,3.606313335389064e-06
626,3.6058060651401295e-06
627,3.6052987948911944e-06
628,3.6047915246422597e-06
629,3.604284254393325e-06
630,3.60377698414439e-06
631,3.6032697138954553e-06
632,3.6027624436465206e-06
633,3.6022551733975855e-06
634,3.601747903148651e-06
635,3.6012406328997162e-06
636,3.600733362650781e-06
637,3.6002260924018465e-06
638,3.599718822152912e-06
639,3.5992115519039767e-06
640,3.598704281655042e-06
641,3.5981970114061074e-06
642,3.5976897411571723e-06
643,3.5971824709082376e-06
644,3.5966752006593025e-06
645,3.596167930410368e-06
646,3.5956606601614332e-06
647,3.595153389912498e-06
648,3.5946461196635635e-06
649,3.594138849414629e-06
650,3.5936315791656937e-06
651,3.593124308916759e-06
652,3.5926170386678244e-06
653,3.5921097684188893e-06
654,3.5916024981699546e-06
655,3.59109522792102e-06
656,3.590587957672085e-06
657,3.5900806874231502e-06
658,3.5895734171742155e-06
659,3.5890661469252805e-06
660,3.588558876676346e-06
661,3.588051606427411e-06
662,3.587544336178476e-06
663,3.5870370659295414e-06
664,3.5865297956806067e-06
665,3.5860225254316716e-06
666,3.585515255182737e-06
667,3.5850079849338023e-06
668,3.584500714684867e-06
669,3.5839934444359325e-06
670,3.583486174186998e-06
671,3.582978903938063e-06
672,3.582471633689128e-06
673,3.5819643634401935e-06
674,3.5814570931912584e-06
675,3.5809498229423237e-06
676,3.580442552693389e-06
677,3.579935282444454e-06
678,3.5794280121955193e-06
679,3.5789207419465846e-06
680,3.5784134716976495e-06
681,3.577906201448715e-06
682,3.5773989311997802e-06
683,3.576891660950845e-06
684,3.5763843907019105e-06
685,3.5758771204529754e-06
686,3.5753698502040407e-06
687,3.574862579955106e-06
688,3.574355309706171e-06
689,3.5738480394572363e-06
690,3.5733407692083016e-06
691,3.5728334989593665e-06
692,3.572326228710432e-06
693,3.5718189584614972e-06
694,3.571311688212562e-06
695,3.5708044179636275e-06
696,3.570297147714693e-06
697,3.5697898774657577e-06
698,3.569282607216823e-06
699,3.5687753369678884e-06
700,3.5682680667189533e-06
701,3.5677607964700186e-06
702,3.567253526221084e-06
703,3.566746255972149e-06
704,3.5662389857232142e-06
705,3.5657317154742796e-06
706,3.5652244452253445e-06
707,3.56471717497641e-06
708,3.564209904727475e-06
709,3.56370263447854e-06
710,3.5631953642296054e-06
711,3.5626880939806707e-06
712,3.5621808237317356e-06
713,3.561673553482801e-06
714,3.5611662832338663e-06
715,3.5606590129849312e-06
716,3.5601517427359965e-06
717,3.559644472487062e-06
718,3.559137202238127e-06
719,3.558629931989192e-06
720,3.5581226617402575e-06
721,3.5576153914913224e-06
722,3.5571081212423877e-06
723,3.556600850993453e-06
724,3.556093580744518e-06
725,3.5555863104955833e-06
726,3.5550790402466482e-06
727,3.5545717699977135e-06
728,3.554064499748779e-06
729,3.553557229499844e-06
730,3.553049959250909e-06
731,3.5525426890019745e-06
732,3.5520354187530394e-06
733,3.5515281485041047e-06
734,3.55102087825517e-06
735,3.550513608006235e-06
736,3.5500063377573003e-06
737,3.5494990675083656e-06
738,3.5489917972594305e-06
739,3.548484527010496e-06
740,3.5479772567615612e-06
741,3.547469986512626e-06
742,3.5469627162636915e-06
743,3.546455446014757e-06
744,3.5459481757658217e-06
745,3.545440905516887e-06
746,3.5449336352679524e-06
747,3.5444263650190173e-06
748,3.5439190947700826e-06
749,3.543411824521148e-06
