T,TTI
863,6.671587824436879e-06
864,6.671587824436879e-06
865,6.671587824436879e-06
866,6.671587824436879e-06
867,6.671587824436879e-06
868,6.671587824436879e-06
869,6.671587824436879e-06
870,6.671587824436879e-06
871,6.671587824436879e-06
872,6.671587824436879e-06
873,6.671587824436879e-06
874,6.671587824436879e-06
875,6.671587824436879e-06
876,6.671587824436879e-06
877,6.671587824436879e-06
878,6.671587824436879e-06
879,6.671587824436879e-06
880,6.671587824436879e-06
881,6.671587824436879e-06
882,6.671587824436879e-06
883,6.671587824436879e-06
884,6.671587824436879e-06
885,6.671587824436879e-06
886,6.671587824436879e-06
887,6.671587824436879e-06
888,6.671587824436879e-06
889,6.671587824436879e-06
890,6.671587824436879e-06
891,6.671587824436879e-06
892,6.671587824436879e-06
893,6.671587824436879e-06
894,6.671587824436879e-06
895,6.671587824436879e-06
896,6.671587824436879e-06
897,6.671587824436879e-06
898,6.671587824436879e-06
899,6.671587824436879e-06
900,6.671587824436879e-06
901,6.671587824436879e-06
902,6.671587824436879e-06
903,6.671587824436879e-06
904,6.671587824436879e-06
905,6.671587824436879e-06
906,6.671587824436879e-06
907,6.671587824436879e-06
908,6.671587824436879e-06
909,6.671587824436879e-06
910,6.671587824436879e-06
911,6.671587824436879e-06
912,6.671587824436879e-06
913,6.671587824436879e-06
914,6.671587824436879e-06
915,6.671587824436879e-06
916,6.671587824436879e-06
917,6.671587824436879e-06
918,6.671587824436879e-06
919,6.671587824436879e-06
920,6.671587824436879e-06
921,6.7511105516107864e-06
922,6.870394642371653e-06
923,6.870394642371653e-06
924,6.870394642371653e-06
925,6.870394642371653e-06
926,6.870394642371653e-06
927,6.870394642371653e-06
928,6.870394642371653e-06
929,6.870394642371653e-06
930,6.870394642371653e-06
931,6.870394642371653e-06
932,6.870394642371653e-06
933,6.870394642371653e-06
934,6.870394642371653e-06
935,6.870394642371653e-06
936,6.870394642371653e-06
937,6.870394642371653e-06
938,6.870394642371653e-06
939,6.870394642371653e-06
940,6.870394642371653e-06
941,6.870394642371653e-06
942,6.870394642371653e-06
943,6.870394642371653e-06
944,6.870394642371653e-06
945,6.870394642371653e-06
946,6.870394642371653e-06
947,6.870394642371653e-06
