source,target
4250000004241,4241
425,4250000004247
4250000004247,4247
426,4260000005173
4260000005173,5173
427,427000000448
427000000448,448
428,428000000276
428000000276,276
428,4280000008366
4280000008366,8366
429,4290000007449
4290000007449,7449
430,4300000006361
4300000006361,6361
430,43000000010155
43000000010155,10155
431,4310000007352
4310000007352,7352
431,4310000005421
4310000005421,5421
432,4320000009096
4320000009096,9096
432,4320000006929
4320000006929,6929
432,43200000010618
43200000010618,10618
432,4320000008015
4320000008015,8015
433,4330000005281
4330000005281,5281
433,4330000004754
4330000004754,4754
433,4330000004694
4330000004694,4694
434,4340000009496
4340000009496,9496
434,4340000007621
4340000007621,7621
435,4350000008169
4350000008169,8169
435,435000000437
435000000437,437
436,4360000002993
4360000002993,2993
437,4370000009952
4370000009952,9952
437,437000000435
437000000435,435
438,4380000006025
4380000006025,6025
438,4380000007901
4380000007901,7901
439,439000000624
439000000624,624
440,440000000683
440000000683,683
441,4410000007352
4410000007352,7352
441,4410000008166
4410000008166,8166
441,4410000009270
4410000009270,9270
442,4420000006370
4420000006370,6370
442,4420000009981
4420000009981,9981
443,4430000005700
4430000005700,5700
443,443000000445
443000000445,445
443,4430000009950
4430000009950,9950
444,44400000010131
44400000010131,10131
445,4450000003648
4450000003648,3648
445,445000000176
445000000176,176
445,445000000443
445000000443,443
446,44600000010843
44600000010843,10843
447,4470000004772
4470000004772,4772
447,44700000010623
44700000010623,10623
448,448000000554
448000000554,554
448,448000000507
448000000507,507
449,449000000451
449000000451,451
449,4490000004695
4490000004695,4695
450,4500000002650
4500000002650,2650
451,451000000449
451000000449,449
451,45100000034
45100000034,34
452,4520000003323
4520000003323,3323
453,4530000001174
4530000001174,1174
454,4540000009496
4540000009496,9496
454,454000000464
454000000464,464
454,4540000008634
4540000008634,8634
455,455000000134
455000000134,134
507,507000000406
507000000406,406
456,456000000457
456000000457,457
457,4570000009423
4570000009423,9423
458,4580000003834
4580000003834,3834
458,4580000003198
4580000003198,3198
458,458000000463
458000000463,463
460,460000000462
460000000462,462
460,4600000007222
4600000007222,7222
461,461000000957
461000000957,957
461,461000000950
461000000950,950
462,4620000003351
4620000003351,3351
462,462000000460
462000000460,460
462,4620000006687
4620000006687,6687
463,463000000458
463000000458,458
463,4630000001221
4630000001221,1221
463,4630000003198
4630000003198,3198
464,464000000465
464000000465,465
464,464000000454
464000000454,454
465,465000000464
465000000464,464
465,465000000469
465000000469,469
466,4660000007840
4660000007840,7840
466,466000000637
466000000637,637
467,4670000003834
4670000003834,3834
469,469000000465
469000000465,465
471,47100000010228
47100000010228,10228
471,4710000009551
4710000009551,9551
472,4720000005466
4720000005466,5466
472,472000000524
472000000524,524
473,4730000002829
4730000002829,2829
473,4730000005286
4730000005286,5286
475,4750000005330
4750000005330,5330
476,47600000010159
47600000010159,10159
477,477000000698
477000000698,698
477,477000000605
477000000605,605
478,4780000001925
4780000001925,1925
478,4780000001295
4780000001295,1295
479,479000000346
479000000346,346
479,47900000010509
47900000010509,10509
481,4810000008609
4810000008609,8609
481,481000000490
481000000490,490
481,4810000005441
4810000005441,5441
483,483000000497
483000000497,497
483,483000000606
483000000606,606
483,483000000486
483000000486,486
484,484000000570
484000000570,570
485,4850000005605
4850000005605,5605
486,486000000485
486000000485,485
487,487000000633
487000000633,633
487,487000000853
487000000853,853
488,488000000492
488000000492,492
488,48800000010508
48800000010508,10508
488,4880000007351
4880000007351,7351
489,4890000009386
4890000009386,9386
489,4890000009375
4890000009375,9375
490,490000000481
490000000481,481
490,4900000004833
4900000004833,4833
491,4910000003515
4910000003515,3515
491,491000000407
491000000407,407
492,492000000488
492000000488,488
493,4930000006413
4930000006413,6413
494,4940000008035
4940000008035,8035
495,4950000004738
4950000004738,4738
495,49500000010803
49500000010803,10803
495,495000000903
495000000903,903
497,497000000662
497000000662,662
498,4980000001274
4980000001274,1274
498,4980000001463
4980000001463,1463
499,4990000004394
4990000004394,4394
500,5000000008913
5000000008913,8913
500,500000000580
500000000580,580
501,5010000003978
5010000003978,3978
501,501000000579
501000000579,579
501,5010000003965
5010000003965,3965
501,5010000001269
5010000001269,1269
502,5020000003720
5020000003720,3720
502,5020000003266
5020000003266,3266
502,5020000001055
5020000001055,1055
503,5030000001648
5030000001648,1648
504,5040000005547
5040000005547,5547
505,5050000004535
5050000004535,4535
506,506000000508
506000000508,508
506,506000000117
506000000117,117
507,507000000455
507000000455,455
508,5080000002153
5080000002153,2153
508,508000000506
508000000506,506
509,5090000009490
5090000009490,9490
509,5090000008163
5090000008163,8163
509,5090000009868
5090000009868,9868
510,510000000345
510000000345,345
510,5100000003115
5100000003115,3115
511,511000000472
511000000472,472
511,511000000524
511000000524,524
512,512000000513
512000000513,513
513,5130000009842
5130000009842,9842
513,5130000007358
5130000007358,7358
514,514000000560
514000000560,560
514,514000000511
514000000511,511
515,51500000010
51500000010,10
515,5150000007531
5150000007531,7531
516,5160000009258
5160000009258,9258
517,517000000123
517000000123,123
517,5170000008695
5170000008695,8695
518,518000000546
518000000546,546
518,5180000001815
5180000001815,1815
519,5190000003668
5190000003668,3668
520,5200000002082
5200000002082,2082
520,5200000005068
5200000005068,5068
522,522000000520
522000000520,520
523,5230000008952
5230000008952,8952
524,524000000532
524000000532,532
525,52500000010250
52500000010250,10250
526,5260000002717
5260000002717,2717
526,5260000004991
5260000004991,4991
527,527000000523
527000000523,523
529,52900000010376
52900000010376,10376
530,5300000003872
5300000003872,3872
530,5300000002987
5300000002987,2987
531,531000000621
531000000621,621
